 INFO 2020-07-28 22:17:11.117 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 22:17:11.131 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 22:17:11.132 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 22:17:12.698 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 1.874 seconds (JVM running for 3.05)
DEBUG 2020-07-28 22:17:59.313 --- [0.1-8081-exec-2] c.a.x.d.UserDAO                          : Admin2 uFErWAnGrvRK4tNOF7tCWw==
 INFO 2020-07-28 22:23:25.503 --- [0.1-8081-exec-9] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:25.506 --- [0.1-8081-exec-9] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:25.510 --- [0.1-8081-exec-9] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:25.514 --- [0.1-8081-exec-9] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:25.520 --- [0.1-8081-exec-9] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:23:25.523 --- [0.1-8081-exec-9] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:23:29.083 --- [.1-8081-exec-10] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:23:29.083 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:23:29.083 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:23:29.087 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:29.090 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:29.094 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:29.097 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:29.101 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:23:29.104 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:23:44.637 --- [0.1-8081-exec-1] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:23:44.637 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:23:44.638 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:23:44.643 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:44.647 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:44.650 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:44.654 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:44.657 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:23:44.661 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:29:56.985 --- [0.1-8081-exec-4] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:29:56.985 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:29:56.985 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:29:56.989 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:29:56.993 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:29:57.005 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:29:57.009 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:29:57.013 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:29:57.016 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:30:02.640 --- [0.1-8081-exec-5] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:30:02.640 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:30:02.640 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:30:02.644 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:30:02.648 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:30:02.651 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:30:02.655 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:30:02.659 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:30:02.664 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:30:16.227 --- [0.1-8081-exec-6] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:30:16.227 --- [0.1-8081-exec-6] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:30:16.227 --- [0.1-8081-exec-6] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:30:16.233 --- [0.1-8081-exec-6] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:30:16.238 --- [0.1-8081-exec-6] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:30:16.241 --- [0.1-8081-exec-6] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:30:16.244 --- [0.1-8081-exec-6] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:30:16.247 --- [0.1-8081-exec-6] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:30:16.251 --- [0.1-8081-exec-6] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:30:22.709 --- [0.1-8081-exec-7] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:30:22.709 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:30:22.709 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:30:22.715 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:30:22.720 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:30:22.724 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:30:22.731 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:30:22.736 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:30:22.742 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:31:46.069 --- [.1-8081-exec-10] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:31:46.069 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:31:46.069 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:31:46.073 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:31:46.076 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:31:46.080 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:31:46.083 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:31:46.086 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:31:46.090 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:31:50.281 --- [0.1-8081-exec-1] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:31:50.281 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:31:50.281 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:31:50.285 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:31:50.288 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:31:50.292 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:31:50.296 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:31:50.299 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:31:50.302 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:32:25.769 --- [0.1-8081-exec-2] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:32:25.769 --- [0.1-8081-exec-2] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:32:25.769 --- [0.1-8081-exec-2] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:32:25.776 --- [0.1-8081-exec-2] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:32:25.779 --- [0.1-8081-exec-2] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:32:25.782 --- [0.1-8081-exec-2] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
